Project,"Link to project",Category,Summary/Information,"Arena funding provided","Total project value","Lead organisation","Arena program","Start date",Location,"Project partners",Status
"Origin Energy - Backbone Charging Infrastructure Project",https://arena.gov.au/projects/origin-energy-backbone-charging-infrastructure-project/,"Electric vehicles","Origin is developing Australia’s first end-to-end building retrofit solution for backbone infrastructure, simplifying the process for customers living in apartment buildings, and unlocking BEV uptake across multiple states in Australia.
",$4.22m,$12.95m,"Origin Energy Electricity Limited (ABN 33 071 052 287) ","Advancing Renewables Program",08/11/2024,,"GreenFlux ",Current
"Toll Group - Project Truckvolt",https://arena.gov.au/projects/toll-group-project-truckvolt/,"Electric vehicles","Toll will deploy 28 Battery Electric Vehicle (BEV) trucks and enabling charging infrastructure across 10 distribution centres and customer sites nationwide.
",$9.02m,$34.92m,"Toll Transport Pty. Ltd.","Driving the Nation Program",04/11/2024,"New South Wales, Queensland, Western Australia","The Australian Industry Group RMIT Universit Woolworths Group Ltd CUB Pty Ltd Coca-Cola Europacific Partners Pty Ltd BlueScope Steel Ltd Origin Energy Ltd",Current
"Linfox - Heavy Truck Electrification Project",https://arena.gov.au/projects/linfox-heavy-truck-electrification-project/,"Electric vehicles","The Project will deploy 26 Volvo electric FM prime movers (44t GVM each), 25 chargers (from 60to 360kW) and enabling infrastructure at Linfox distribution centres in Laverton North (VIC), Adelaide Railhead (SA) and Willawong (QLD). The BEVs will service particular existing customers on primarily metropolitan and regional routes. 
",$19.63m,$50.18m,"Linfox Pty Ltd ","Driving the Nation Program",04/11/2024,"Adelaide Railhead, Laverton North, Willawong","Volvo Group Australia",Current
"Transport for NSW: Community Batteries Pilot Project",https://arena.gov.au/projects/transport-for-nsw-community-batteries-pilot-project/,"Battery storage","Installation of community batteries across 15 Transport sites, including commuter car parks, rail network support buildings, and electric bus depots.
",$8.32m,$17.51m,"Transport for NSW","Community Batteries Funding Round 1",01/11/2024,"New South Wales","Sydney TrainsTransport Asset Manager of NSW ",Current
"Graincorp - SAF Oilseed Crushing Facility Pre-Deployment Study",https://arena.gov.au/projects/graincorp-saf-oilseed-crushing-facility-pre-deployment-study/,"Bioenergy / Energy from waste","GrainCorp will undertake a Pre-Front End Engineering Design (Pre-FEED) and Front-End Engineer Design (FEED) study to establish a minimum 750ktpa oil seed crushing facility that would produce a minimum of 330ktpa of canola oil (Deployment Project) as a feedstock input to support downstream Sustainable Aviation Fuel (SAF) production.
",$6.06m,$19.77m,"GrainCorp Operations Ltd","Advancing Renewables Program",01/11/2024,"New South Wales, Sydney","Beca Pty Ltd",Current
"Ampol - Brisbane Renewable Fuels Pre-FEED Study",https://arena.gov.au/projects/ampol-brisbane-renewable-fuels-pre-feed-study/,"Bioenergy / Energy from waste","Ampol will conduct a pre-front end engineering design (Pre-FEED) study for the construction of a renewable fuels facility at the Lytton Refinery in Queensland that will have a minimum capacity of 450 ML per year, known as the Brisbane Renewable Fuels Project.
",$8m,$30.2m,"Ampol Australia Petroleum Pty Ltd ","Sustainable Aviation Fuel Funding Initiative",01/11/2024,"Lytton, Queensland",None,Past
"AnteoTech - Development of silicon anode lithium-ion battery technology&#8239;",https://arena.gov.au/projects/anteotech-development-of-silicon-anode-lithium-ion-battery-technology/,"Battery storage","AnteoTech will install electrode coating and testing equipment at its facility in Brisbane, to accelerate the commercialisation of its novel silicon anode technology. 
",$3.99m,$11.14m,"AnteoTech Ltd ","Advancing Renewables Program",29/10/2024,"Eight Mile Plains, Queensland",,Current
"UNSW - Project CICCADA - Consumer Energy Resources Integration, Compliance & Curtailment Assessment & Data Analysis",https://arena.gov.au/projects/unsw-project-ciccada-consumer-energy-resources-integration-compliance-and-curtailment-assessment-and-data-analysis/,"Distributed energy resources","UNSW will develop new and improved methodologies, tools and data guidelines to support the management of consumer energy resource (CER) integration challenges facing the National Electricity Market (NEM). The Project will focus on the compliance and curtailment behaviour of CER during normal operations and major power system disturbances, with consideration for new network configurations including dynamic operating envelopes (DOE) and emergency backstop mechanisms (EBM). The core goal of the Project is to explore a wide range of datasets, develop new algorithms and effective open-source tools, and create new knowledge to increase visibility and understanding of CER behaviour and impact on consumer value.
",$1.72m,$4.37m,"UNSW ","Advancing Renewables Program",29/10/2024,"Kensington, New South Wales","Australian Energy Market Operator (AEMO) Solar Analytics Pty Ltd  Energex  Ergon Energy ",Current
"Orkestra - Unlocking EV Charger Deployment",https://arena.gov.au/projects/orkestra-unlocking-ev-charger-deployment/,"Electric vehicles","Orkestra will develop and rollout battery electric vehicle (BEV) charger feasibility modelling software across three new EV-specific software modules, which Orkestra will incorporate into its existing feasibility software platform. The three new software modules will allow users to track charger financial performance, conduct feasibility analysis and optimise financial performance over time (the Project). The Project will provide tools for businesses to improve the financial performance of BEV chargers, which will in turn accelerate the rollout of cost-effective chargers and support the uptake and integration of BEVs into the grid.
",$2.77m,$5.54m,"Orkestra Technologies Pty Ltd","Driving the Nation Program",25/10/2024,Kensington,"Royal Automotive Club of Victoria (RACV)  AGL Energy Limited  EnergyAustralia Home Services Pty Ltd  CBRE Valuations Pty Lrd  Royal Automobile Association of South Australia (RAA) Inc",Current
"Hydro Tasmania Community Batteries Project",https://arena.gov.au/projects/hydro-tasmania-community-batteries-project/,"Battery storage","This project will deploy 39 behind-the-meter batteries across mainland Australia, which will be operated and optimised by Hydro Tasmania’s cutting edge Virtual Power Plant (VPP) platform.
",$11.37m,$32.5m,"Hydro Tasmania    ","Community Batteries Funding Round 1",02/10/2024,"Hobart, New South Wales, Queensland, South Australia, Tasmania, Victoria","University of Wollongong  Savant Energy Power Networks  LaSalle Investment Management  Energy Decarb Farming the Sky Collingwood Football Club Brisbane Lions Football Club Cricket Victoria RMGE Investments  Tweed Heads Bowls Club",Current
"TasNetworks - Community Battery Development",https://arena.gov.au/projects/tasnetworks-community-battery-development/,"Battery storage","The Project is deploying 6 front-of-the-meter batteries in the Tasmanian distribution network, ranging in size from 150kW to 250kW and will improve solar hosting capacity, provide peak demand management, and participate in the energy market.
",$3.34m,$4.58m,TasNetworks,"Community Batteries Funding Round 1",01/10/2024,Tasmania,TBC,Current
"Jet Zero Australia - FEED Study for Project Ulysses ATJ SAF Plant",https://arena.gov.au/projects/jet-zero-australia-feed-study-for-project-ulysses/,"Bioenergy / Energy from waste","The project involves completion of a Front-End Engineering Design (FEED) study for a commercial scale alcohol-to-jet (ATJ) low carbon liquid fuels production (LCLF) facility in Townsville, Queensland (Project Ulysses).
",$9m,$36.81m,"Ulysses Bioenergy Pty Ltd ","Sustainable Aviation Fuel Funding Initiative",01/09/2024,"Queensland, Townsville","Long Energy and Resources, LanzaJet, Technip Energies",Past
"Shell Energy - Community Hubs Project",https://arena.gov.au/projects/shell-energy-community-hubs-project/,"Battery storage","Shell Energy will deploy 10 behind-the-meter community batteries across various sites in NSW.
",$7.64m,$20.12m,"Shell Energy Retail Pty Ltd  ","Community Batteries Funding Round 1",01/09/2024,"New South Wales",,Current
"SA Power Networks EV Charging & Resilience Community Batteries",https://arena.gov.au/projects/sa-power-networks-ev-charging-resilience-community-batteries/,"Battery storage","The Recipient will deploy eight front-of-meter Community Batteries at network constrained regional locations within the SA Power Networks (SAPN) distribution network.
",$5.42m,$10.8m,"SA Power Networks","Community Batteries Funding Round 1",01/09/2024,"South Australia",None,Current
"GemLife Sustainable Community Battery Project",https://arena.gov.au/projects/gemlife-sustainable-community-battery-project/,"Battery storage","The Project is deploying 10 behind-the-meter batteries at a mix of 8 existing and greenfield over-50s communities across regional Queensland, NSW and Victoria.
",$4m,$13.58m,GemLife,"Community Batteries Funding Round 1",23/08/2024,"New South Wales, Queensland, Victoria","Prospecta UtilitiesEvo PowerHydro Tas",Current
"Brighte - Electrify 2515 Community Pilot",https://arena.gov.au/projects/electrify-2515-brighte-research-testbed-of-community-electrification-at-scale/,"Demand response","A testbed of community electrification at scale: Brighte, Rewiring Australia, and Endeavour Energy will aim to demonstrate the technical and economic feasibility of household electrification in a pilot project that will bring forward the electrification of 500 households, understanding network impacts and monitoring energy use across a concentrated network area centered on the 2515 postcode in Northern Illawarra, NSW. 
",$5.58m,$12.45m,"Brighte ","Advancing Renewables Program",15/08/2024,"Illawarra, New South Wales","Rewiring Australia  Endeavour Energy ",Current
"Wyndham City Council ' Local Council BEV Integration Project",https://arena.gov.au/projects/wyndham-city-council-local-council-bev-integration-project/,"Electric vehicles","Wyndham City Council is collaborating with Moonee Valley City Council, Brimbank City Council and the Western Alliance for Greenhouse Action (WAGA) to deliver this Fleet Transition Project. The Councils will procure, install, and operate a total of 55x AC charging ports and 1x mobile DC charger. All chargers on the Project will have Smart Charging Capability.
",$2.22m,$8.77m,"Wyndham City Council","Driving the Nation Program",02/08/2024,Victoria,"Brimbank City Council Moonee Valley City Council Western Alliance for Greenhouse Action (WAGA) auspiced by Brimbank City Council",Current
"Zenob&#275; - EV Delivery Truck Charging Facility",https://arena.gov.au/projects/zenobe-ev-delivery-truck-charging-facility/,"Electric vehicles","Zenobē will develop a Sydney-based greenfield battery electric vehicle (BEV) ‘off-site’ charging facility and demonstrate the commercial viability its electric vehicle as a service (EVaaS) business model. 
",$8.5m,$18.98m,"Zenobē Australia Pty Ltd ","Driving the Nation Program",19/07/2024,"Alexandria, New South Wales","Woolworths Group Limited ",Current
"Mars Petcare - Solar Thermal Plant",https://arena.gov.au/projects/mars-petcare-solar-thermal-plant/,"Concentrated solar thermal","On-site deployment at Mars Petcare Wodonga’s factory of an 18 MW parabolic trough concentrated solar thermal (CST) plant, which uses mirrors to concentrate sunlight to produce thermal energy, which is then stored as pressurised stream.  
",$17.2m,$39.3m,"Mars Australia Pty Ltd ","Advancing Renewables Program",03/06/2024,"Victoria, Wodonga",,Current
